ticker,effective_shares,market_cap,as_of
AAPL,14594180000,4624166022076,2026-09-01
ABBV,1767117285,453124237948,2026-09-01
ABT,1730383296,190965101603,2026-09-01
ACN,611942109,116122131242,2026-09-01
ADBE,397500000,116384028397,2026-09-01
ADP,397262737,113680706275,2026-09-01
AIG,522893169,39928122704,2026-09-01
AMD,1632475042,768438653763,2026-09-01
AMGN,540632005,232406888949,2026-09-01
AMT,465960048,81869179012,2026-09-01
AMZN,10786313572,2801960558096,2026-09-01
AVGO,4757580198,1761922233105,2026-09-01
AXP,675309833,222967056629,2026-09-01
BA,790370020,164223081791,2026-09-01
BAC,6992748365,433130824125,2026-09-01
BKNG,751380500,149592340993,2026-09-01
BLK,154869259,178968462124,2026-09-01
BMY,2042714656,136473761180,2026-09-01
BRK-B,2140709794,1078981954857,2026-09-01
C,1677436783,220784221188,2026-09-01
CAT,459674889,366576920264,2026-09-01
CHTR,119277493,18182661324,2026-09-01
CMCSA,3548636573,94464708551,2026-09-01
COP,1218294007,161411779680,2026-09-01
COST,443478804,418595214804,2026-09-01
CRM,823000000,211955427032,2026-09-01
CSCO,3941434665,435489107716,2026-09-01
CVS,1278970369,120108112037,2026-09-01
CVX,1961603274,404364897705,2026-09-01
DHR,702986054,150129699976,2026-09-01
DIS,1726686902,185705181580,2026-09-01
F,3987595667,55587081925,2026-09-01
GE,1037562513,348320102373,2026-09-01
GILD,1239955155,181455032842,2026-09-01
GM,904451541,78072256743,2026-09-01
GOOGL,12229934831,4150228459545,2026-09-01
GS,291171408,298712754576,2026-09-01
HD,997689626,327072576695,2026-09-01
HON,316940010,67676199948,2026-09-01
IBM,942134390,220336965189,2026-09-01
INTC,5254526315,470332661681,2026-09-01
INTU,273537000,98281840761,2026-09-01
ISRG,358278038,135020656152,2026-09-01
JNJ,2409898597,640671556721,2026-09-01
JPM,2658186195,946367419940,2026-09-01
KHC,1185823758,30440095958,2026-09-01
KO,4302549243,381507033499,2026-09-01
LIN,460980163,225686662012,2026-09-01
LLY,891741406,1031504019146,2026-09-01
LMT,230790753,129526689799,2026-09-01
LOW,560707041,114776729582,2026-09-01
MA,876009940,516241415603,2026-09-01
MCD,707641531,186491855126,2026-09-01
MDT,1279980861,116030267003,2026-09-01
META,2547506225,1458039781231,2026-09-01
MMM,515722417,88616583857,2026-09-01
MO,1669743926,114344069658,2026-09-01
MRK,2467171638,364549267678,2026-09-01
MS,1570566292,335033212913,2026-09-01
MSFT,7425545491,3766905035580,2026-09-01
MU,1129393151,1082783073600,2026-09-01
NEE,2085978209,171759438090,2026-09-01
NFLX,4163939676,337487323447,2026-09-01
NKE,1483498703,57945461376,2026-09-01
NOW,1033862000,153001243059,2026-09-01
NVDA,24147000000,5331174630524,2026-09-01
ORCL,2880471000,429535821455,2026-09-01
OXY,999637371,60158177292,2026-09-01
PEP,1364891558,191548876251,2026-09-01
PFE,5699673589,162212705125,2026-09-01
PG,2322672312,337066194576,2026-09-01
PLTR,2403058480,447882051236,2026-09-01
PM,1558613439,291928301881,2026-09-01
PYPL,855460874,45052847712,2026-09-01
QCOM,1068060487,182082947261,2026-09-01
RTX,1347758144,279969793495,2026-09-01
SBUX,1140000000,121125000000,2026-09-01
SCHW,1729335714,189915647584,2026-09-01
SLB,1484143231,89197005918,2026-09-01
T,6852385650,177408260296,2026-09-01
TMO,369747286,228171041164,2026-09-01
TMUS,1072671613,193552868469,2026-09-01
TSLA,3949547394,1453236011835,2026-09-01
TXN,913247686,238275457099,2026-09-01
UBER,2042560121,154519676270,2026-09-01
UNH,897594847,349532412657,2026-09-01
UNP,594075498,178620687961,2026-09-01
UPS,850781582,88676967148,2026-09-01
USB,1558051446,95944810898,2026-09-01
V,1867047259,708301709530,2026-09-01
VZ,4154775202,207821857506,2026-09-01
WFC,3023999336,261243300791,2026-09-01
WMT,7933746241,832011990084,2026-09-01
XOM,4111911960,661812217413,2026-09-01
